affy_probe	gene_symbol
1449600_at	Gm3716
1447281_at	Gm3764
1455624_at	Gm3764
1459503_at	Gm3764
1459905_at	Gm3764
1429510_at	2810410L24Rik
1438972_x_at	2810410L24Rik
1444014_at	D830025C05Rik
1445929_at	Gm3837
95384_at	Nhsl2
1438732_at	Nhsl2
1455040_s_at	Nhsl2
1456765_at	Nhsl2
161100_at	Nhsl2
1444932_at	4732419C18Rik
1442871_at	Gm3870
1428562_at	2210403K04Rik
1442304_at	Gm3916
1459561_at	Gm3924
1434259_at	Gm3925
1439251_at	Gm3932
1446381_at	Gm3948
1431996_at	Gm4022
1436651_at	Prdm11
1456186_at	Prdm11
1444694_at	Gm15234
1457419_s_at	Gm4047
1426088_at	Gm4076
1456966_at	C920021L13Rik
1445175_at	Gm4117
1445371_at	Tmem207
1443133_at	A230070E04Rik
1449607_at	A230070E04Rik
1457015_at	A230070E04Rik
1430459_at	4632428C04Rik
1443460_at	Gm4250
1456331_at	9130023H24Rik
1442593_at	Gm4274
1440645_at	BB114814
1449644_at	Gm17011
104484_at	Sult2a2
1419528_at	Sult2a2
1453980_at	5330434G04Rik
1458949_at	5330434G04Rik
1431397_at	3110099E03Rik
1446476_at	Gm16460
1426987_at	5430417L22Rik
1450328_at	LOC100043315
1446594_at	Gm4371
1441302_at	Gm14004
1446006_at	Gm4415
1444524_at	Gm14005
1445512_at	Gm4432
1429560_at	Zfp955b
1453198_at	Zfp955b
1430137_at	1300002E11Rik
1441533_at	Gm4491
1445258_at	Gm4515
97163_g_at	Srcap
99825_at	Srcap
1437909_at	Srcap
1439978_at	Srcap
1441653_at	Srcap
1457718_at	Srcap
1434067_at	AI662270
1434068_s_at	AI662270
1445428_at	Gm4573
1453415_at	Gm10762
1458844_at	Gm4627
1430285_at	Gm14057
1453465_x_at	Gm14057
1431845_at	Gm4640
94849_at	Gm10169
1442713_at	Gm4665
1459564_at	Gm4670
1431566_at	9030622O22Rik
100644_f_at	Gm4673
1431168_at	Six3os1
1430636_at	Ppp4r1l-ps
1439592_at	Ppp4r1l-ps
1439593_s_at	Ppp4r1l-ps
1442386_at	Ppp4r1l-ps
1443583_at	Ppp4r1l-ps
1456805_a_at	Ppp4r1l-ps
1457029_at	Ppp4r1l-ps
1459895_at	Ppp4r1l-ps
1427122_at	Copg2as2
1427123_s_at	Copg2as2
1427320_at	Copg2as2
1427821_at	Copg2as2
1427822_a_at	Copg2as2
1452479_at	Copg2as2
100322_at	LOC100045391
93223_at	LOC100045815
100360_f_at	LOC100046359
1457109_x_at	LOC100046658
1446154_at	LOC100047123
1441045_at	Ddx43
1444095_a_at	LOC100048701
1440007_at	D930003E18Rik
1559884_at	CDKN2B-AS1
1431442_at	LOC100049077
1441031_at	Gm13032
1452502_at	BC001981
1460523_at	Gm9777
1427643_at	Gm16499
1440733_at	Gm16499
1444448_at	Gm10392
1458132_at	Gm10199
1420266_at	Gm10627
1378257_at	Trex1
228647_at	LOC100049716
236886_at	LOC100049716
46845_at	LOC100049716
58483_at	LOC100049716
236514_at	ACOT8
36841_at	ACOT8
204212_at	ACOT8
47789_at	ACOT8
33886_at	ABI1
38924_s_at	ABI1
209027_s_at	ABI1
209028_s_at	ABI1
49608_at	ABI1
1559890_a_at	ABI1
1434915_s_at	Lrrc19
1444019_at	Lrrc19
1440211_at	Cyp2j11-ps
34332_at	GNPDA1
202382_s_at	GNPDA1
1433971_at	Camta1
1433972_at	Camta1
1453455_at	Camta1
1457956_at	Camta1
68984_at	KCNE3
68986_at	KCNE3
86424_at	KCNE3
222922_at	KCNE3
222923_s_at	KCNE3
227647_at	KCNE3
44558_at	KCNE3
57223_at	KCNE3
1416106_at	Kti12
99138_at	Rcc1
1416962_at	Rcc1
226255_at	ZBTB33
40178_at	ZBTB33
40179_at	ZBTB33
214631_at	ZBTB33
58520_at	ZBTB33
103765_at	Zbtb48
1418200_at	Zbtb48
225220_at	SNHG8
56441_at	SNHG8
85838_r_at	CDH3
160031_at	CDH3
203256_at	CDH3
243376_at	TANK
39742_at	TANK
207616_s_at	TANK
209451_at	TANK
210458_s_at	TANK
45089_at	TANK
58134_at	TANK
78295_r_at	ZSCAN30
228125_at	ZSCAN30
228130_at	ZSCAN30
84707_s_at	ZSCAN30
84710_r_at	ZSCAN30
84712_at	ZSCAN30
54767_at	ZSCAN30
1557104_at	ZSCAN30
1557105_a_at	ZSCAN30
1562988_at	ZSCAN30
60150_at	ZSCAN30
65486_at	ZSCAN30
1446258_at	9530067D14Rik
1569996_at	LOC100101938
59824_at	LOC100101938
1437453_s_at	Pcsk9
224130_s_at	SRA1
224864_at	SRA1
65689_at	SRA1
83706_at	SNORD123
227655_at	SNORD123
44628_at	SNORD123
1430327_at	Adat3
235798_at	TMEM170B
45931_at	TMEM170B
52821_at	TMEM170B
1459694_at	AI428898
1426716_at	Tdrd7
1459216_at	Tdrd7
1435719_at	AI448984
239153_at	HOTAIR
79704_at	HOTAIR
239720_at	ZGLP1
55318_at	ZGLP1
1430628_at	A230083N12Rik
1380581_at	LOC100125361
1385954_at	LOC100125362
1385955_at	LOC100125362
1390371_at	Fbxl13
1389201_at	LOC100125364
1394906_at	LOC100125364
1398942_at	LOC100125365
1393243_at	LOC100125367
1371559_at	Nadk
1384467_at	Nadk
1378503_at	LOC100125371
1394388_at	LOC100125371
rc_AA894282_at	Pnrc2
1371856_at	Pnrc2
1397313_at	Pnrc2
1379083_at	Adat3
1378574_at	LOC100125377
1431620_at	LOC100125594
100210_at	0610009E02Rik
1436198_at	2310075K07Rik
1443684_at	Gm10034
1437444_at	BC037039
1385206_at	Rab1b
1398982_at	Rab1b
93555_at	5430421N21Rik
1427118_at	5430421N21Rik
1431209_s_at	Gm9856
1458283_at	Gm12758
1439280_at	Gm13112
1439277_at	Gm14873
1429258_at	A030001D20Rik
87292_at	FMR1-AS1
87207_at	LOC100126784
87208_at	LOC100126784
236102_at	LOC100126784
239141_at	LOC100126784
240407_at	LOC100126784
50991_at	LOC100126784
64731_r_at	LOC100126784
70387_at	EGOT
85320_at	EGOT
240475_at	EGOT
222314_x_at	EGOT
1440507_at	Gm10575
1432181_s_at	Sco2
207465_at	LOC100127886
1554332_a_at	LOC100127888
84238_at	LOC100127891
235967_at	LOC100127891
50430_at	LOC100127910
1564299_at	LOC100127940
1560950_at	LOC100127950
66933_at	LOC100127950
217655_at	LOC100127972
68965_at	LOC100127974
1560419_at	LOC100127974
242462_at	LOC100127980
243924_at	LOC100127980
50946_at	LOC100127980
54129_i_at	LOC100127980
54132_f_at	LOC100127980
1557044_at	LOC100127980
1557046_x_at	LOC100127980
1560238_at	LOC100127980
63761_at	LOC100127980
64642_s_at	LOC100127980
228107_at	LOC100127983
47541_at	LOC100127983
1557961_s_at	LOC100127983
75587_at	LOC100128002
75589_at	LOC100128002
1557235_at	LOC100128002
1562675_at	LOC100128003
1562765_at	LOC100128025
1569660_at	PP13439
63189_at	LOC100128055
78393_at	LOC100128071
1556560_a_at	LOC100128071
243053_x_at	LOC100128079
1569620_s_at	LOC100128079
1559650_at	LOC100128081
234763_at	LOC100128093
242350_s_at	LOC100128098
62662_at	LOC100128098
62663_f_at	LOC100128098
243957_at	LOC100128108
49951_at	LOC100128108
31663_at	HGC6.3
211111_at	HGC6.3
1561391_at	LOC100128126
