'ID_REF','IDENTIFIER','GDS2545.soft.gz_table_0.GSM152804','GDS2545.soft.gz_table_0.GSM152805','GDS2545.soft.gz_table_0.GSM152806','GDS2545.soft.gz_table_0.GSM152807','GDS2545.soft.gz_table_0.GSM152808','GDS2545.soft.gz_table_0.GSM152809','GDS2545.soft.gz_table_0.GSM152810','GDS2545.soft.gz_table_0.GSM152811','GDS2545.soft.gz_table_0.GSM152812','GDS2545.soft.gz_table_0.GSM152813','GDS2545.soft.gz_table_0.GSM152814','GDS2545.soft.gz_table_0.GSM152815','GDS2545.soft.gz_table_0.GSM152816','GDS2545.soft.gz_table_0.GSM152817','GDS2545.soft.gz_table_0.GSM152818','GDS2545.soft.gz_table_0.GSM152819','GDS2545.soft.gz_table_0.GSM152820','GDS2545.soft.gz_table_0.GSM152821'
'1000_at','MAPK3',535.4,459.9,404.1,360.4,527.5,345.4,561.7,718.9,389.8,446.1,429.8,319.9,685.6,709.8,460.6,558.5,698.2,534.8
'1001_at','TIE1',121.4,126.1,119.6,63.8,109.9,88.9,136.1,187.9,56.6,60.2,65.6,43.3,93.5,112.9,83.8,72.8,47.0,124.6
'1002_f_at','CYP2C19',11.8,10.7,7.0,6.2,10.8,36.6,32.1,20.5,4.0,6.6,2.3,8.9,5.6,13.3,20.1,10.6,9.2,15.4
'1003_s_at','CXCR5',62.5,16.5,49.8,16.2,22.8,71.0,81.5,98.7,12.8,54.0,13.6,27.2,38.4,30.6,19.4,23.7,50.0,45.1
'1004_at','CXCR5',81.9,13.6,22.3,73.3,130.9,113.0,261.0,131.8,45.1,77.0,86.8,123.6,102.4,14.9,111.2,40.2,180.1,105.1
'1005_at','DUSP1',433.1,784.5,872.4,1902.6,1890.9,1169.6,892.0,1217.2,1299.3,1678.1,1121.4,679.2,516.9,1295.2,1061.8,1039.7,1051.5,672.2
'1006_at','MMP10',32.9,7.3,4.1,2.6,6.9,34.1,27.6,15.0,1.9,11.0,23.4,26.1,6.2,7.3,6.4,9.7,8.1,28.7
'1007_s_at','DDR1',1830.0,423.1,750.8,1372.9,914.9,1200.3,519.8,540.4,1002.4,1126.8,1295.8,810.2,1505.7,886.6,562.7,636.7,1303.8,980.5
'1008_f_at','EIF2AK2',1542.3,1876.6,1457.1,2001.9,2491.2,1964.3,13142.6,8307.5,2611.9,1456.0,1635.8,1431.5,803.6,1823.3,1940.1,2222.6,2683.6,1935.4
'1009_at','HINT1',933.1,1167.1,968.9,1819.7,1152.6,1376.5,669.9,675.6,1677.7,2012.8,1614.5,1549.7,972.9,700.8,620.7,855.7,1056.6,838.6
'100_g_at','RABGGTA',359.0,296.6,202.7,274.3,304.2,359.9,96.7,504.9,435.4,320.6,253.7,268.3,335.5,308.0,216.7,261.2,342.8,380.5
'1010_at','MAPK11',49.3,8.5,6.9,9.5,14.0,15.7,28.7,17.1,11.1,6.5,9.7,44.5,5.8,14.6,6.7,9.4,10.0,65.2
'1011_s_at','YWHAE',323.1,143.3,267.7,226.1,88.0,214.4,35.4,112.2,143.2,507.5,451.2,449.7,422.3,386.2,364.9,364.0,476.2,396.0
'1012_at','KAT2B',30.9,37.2,15.6,7.4,7.7,20.4,56.6,13.3,39.9,31.8,27.8,43.7,59.6,23.3,16.2,27.7,28.2,43.8
'1013_at','SMAD5',24.5,15.9,36.9,12.1,6.3,23.4,5.1,2.8,12.4,20.2,23.9,5.9,2.5,42.2,2.7,22.3,5.2,34.0
'1014_at','POLG',188.9,335.5,328.1,264.2,403.6,252.6,257.8,405.2,247.7,255.0,265.4,315.5,397.9,342.1,349.3,345.8,363.0,262.5
'1015_s_at','LIMK1',26.9,47.6,59.6,15.0,37.2,26.2,25.1,32.5,21.1,29.6,34.3,8.0,13.2,47.5,30.2,39.7,23.8,29.1
'1016_s_at','IL13RA2',6.5,21.2,27.6,8.0,41.5,13.6,35.9,26.1,24.1,46.6,8.3,30.8,13.1,36.8,34.1,47.2,29.7,9.7
'1017_at','MSH6',58.1,9.9,27.4,26.3,3.8,47.8,111.3,23.2,63.9,29.6,68.1,57.5,76.1,56.2,84.8,105.5,27.1,44.2
'1018_at','WNT10B',72.6,44.8,34.5,62.5,31.4,90.5,206.7,111.7,21.8,37.4,49.8,21.9,27.6,27.0,33.9,29.3,35.5,42.9
'1019_g_at','WNT10B',116.3,72.2,54.7,131.4,193.2,143.8,546.0,347.9,95.8,194.9,80.7,188.3,110.1,151.6,129.8,168.3,168.2,148.8
'101_at','DYRK4',205.2,234.1,140.4,229.9,266.6,246.2,18.0,104.8,182.6,192.5,218.2,219.8,123.8,90.2,187.0,170.6,112.0,107.3
'1020_s_at','CIB1',921.8,443.1,514.8,1352.0,436.9,1363.5,769.1,752.2,1425.9,1355.0,939.0,1467.7,658.7,381.8,549.7,938.1,826.4,960.9
'1021_at','IFNG',33.5,21.8,63.2,8.6,70.8,42.5,106.6,56.7,32.6,32.9,7.7,30.1,8.8,69.8,25.6,45.2,62.0,40.7
'1022_f_at','IFNA14',36.4,36.6,70.4,11.1,27.9,25.0,203.7,63.9,24.9,11.7,25.9,26.6,32.6,71.8,35.7,11.5,61.2,55.4
'1023_at','EPO',11.6,16.8,14.6,21.4,28.7,21.9,42.1,32.4,11.0,16.4,12.2,10.6,14.4,24.5,12.8,18.0,14.5,25.9
'1024_at','CYP1A1',56.5,17.3,13.7,63.8,24.3,34.7,36.9,127.0,12.0,14.2,37.7,42.4,22.9,19.1,36.9,33.2,38.1,61.7
'1025_g_at','CYP1A1',33.2,35.2,91.0,55.6,32.3,15.5,114.6,144.1,62.8,30.8,44.5,5.5,72.8,91.1,45.7,64.6,99.6,78.7
'1026_s_at','COL11A2',37.5,199.6,166.7,136.0,288.1,31.4,113.6,114.5,125.0,103.1,69.5,139.2,134.3,158.5,156.6,116.1,60.4,225.6
'1027_at','COL11A2',8.5,9.1,63.2,14.6,11.8,16.6,49.8,17.5,66.8,28.3,8.1,26.3,27.6,20.4,15.8,15.3,21.4,47.2
'1028_at','TOP3A',53.1,68.3,66.8,63.5,82.5,58.7,236.1,116.8,108.0,61.7,85.1,171.6,121.2,83.3,104.5,167.8,155.2,68.4
'1029_s_at','TXK',4.5,5.6,14.0,2.0,7.7,41.6,30.7,6.6,2.1,3.7,24.7,16.3,11.9,9.4,38.0,5.4,2.4,64.0
'102_at','HIPK3',31.9,26.8,3.5,6.5,19.0,19.4,13.7,2.8,43.3,6.8,22.6,32.2,26.5,49.8,5.9,2.5,51.4,44.3
'1030_s_at','TOP1',764.2,390.3,277.6,708.6,263.3,476.5,639.5,384.5,370.3,605.2,584.4,675.2,519.8,265.7,482.6,630.8,444.3,346.9
'1031_at','SRPK1',69.8,125.5,72.7,79.4,60.8,59.4,153.2,57.0,45.0,70.8,72.1,70.0,78.2,84.4,82.7,77.8,88.9,57.7
'1032_at','CXCR2',207.1,162.3,111.0,239.1,393.7,346.6,788.5,422.9,139.5,195.7,276.6,218.9,227.7,389.4,312.4,254.7,311.4,248.6
'1033_g_at','CXCR2',15.5,49.5,26.2,39.4,32.0,24.3,145.3,60.0,61.5,87.5,48.6,53.8,72.0,27.7,30.2,57.4,30.9,104.1
'1034_at','TIMP3',298.2,917.7,322.1,302.2,621.6,248.7,495.3,789.6,553.3,601.4,408.7,443.6,486.6,940.6,518.3,1001.8,615.5,453.7
'1035_g_at','TIMP3',291.8,1093.8,660.0,171.1,1106.2,244.1,613.5,1166.9,487.8,596.8,781.9,1044.3,723.6,998.9,651.6,1381.6,706.5,762.6
'1036_at','IL15',7.4,2.9,9.5,13.4,11.1,25.2,50.9,7.1,16.1,3.9,1.3,5.6,5.5,45.6,4.5,5.2,5.0,2.5
'1037_at','BAGE',16.1,3.0,3.5,28.7,32.5,3.6,171.2,79.2,8.1,3.4,21.9,10.6,3.8,36.4,5.0,14.7,8.1,24.2
'1038_s_at','IFNGR1',347.4,285.3,344.3,544.9,257.3,514.5,185.2,278.0,285.9,824.0,720.5,461.3,530.4,272.1,322.0,467.9,320.2,406.7
'1039_s_at','HIF1A',129.9,271.6,63.3,152.5,83.6,141.1,218.2,212.0,95.3,142.9,151.7,198.2,105.0,119.5,221.7,111.0,96.1,90.0
'103_at','THBS4',135.9,7.7,131.1,132.9,130.5,61.7,43.1,23.6,79.1,149.9,74.2,250.6,16.1,205.2,190.4,96.4,19.1,151.3
'1040_s_at','ABI2',50.1,7.1,18.2,51.2,19.0,6.4,19.5,95.5,11.7,6.4,12.8,15.3,27.1,9.3,38.3,8.7,6.6,12.6
'1041_at','EFNA5',38.3,55.9,15.8,18.6,76.5,66.8,238.6,230.2,62.5,70.1,31.3,49.3,17.0,80.8,50.8,53.2,141.2,61.7
'1042_at','RARRES1',344.3,1682.6,115.2,715.2,508.1,497.0,900.5,1332.3,153.1,329.8,691.0,104.3,621.9,834.8,879.1,154.1,269.1,186.1
'1043_s_at','RAD52',5.5,19.8,45.8,29.0,47.4,16.8,18.0,82.3,30.4,43.7,43.5,29.4,37.7,20.8,8.7,14.9,33.5,66.1
'1044_s_at','E2F5',61.1,63.4,60.2,86.1,56.4,76.8,20.7,97.6,58.2,30.6,65.7,59.9,98.0,81.1,58.6,22.3,71.2,101.9
'1045_s_at','RELA',67.1,10.9,40.5,18.8,56.8,31.4,20.9,6.4,108.5,4.4,47.2,31.8,10.2,62.2,47.6,28.4,60.2,59.4
'1046_at','IFIT5',97.2,82.1,101.9,97.2,118.3,73.5,115.0,112.4,54.9,95.6,103.9,66.5,86.5,118.6,111.3,87.9,109.6,97.7
'1047_s_at','MST1P9',82.7,89.4,36.8,87.3,122.1,98.2,135.7,158.8,89.2,106.0,102.7,102.9,125.3,77.8,105.8,127.9,172.1,132.2
'1048_at','RXRG',40.9,75.6,56.3,34.6,124.1,55.6,84.4,41.0,25.8,55.4,28.9,43.7,76.5,113.9,113.7,76.3,38.8,90.7
'1049_g_at','RXRG',31.2,67.8,89.3,20.9,41.7,25.2,91.6,89.1,20.4,21.7,21.1,23.7,27.9,48.9,58.0,84.6,45.6,26.6
'104_at','POU6F1',51.4,72.6,54.1,74.3,77.0,64.3,246.9,91.1,83.4,10.4,87.5,86.2,88.8,50.1,59.0,70.6,105.0,80.8
'1050_at','MLANA',2.3,1.4,17.1,0.9,5.8,1.9,3.2,7.8,4.0,1.2,1.3,7.1,5.2,21.1,3.1,0.9,3.4,2.4
'1051_g_at','MLANA',32.2,49.3,81.8,12.3,89.8,12.0,202.6,18.6,39.8,45.5,8.9,9.5,76.1,41.5,60.1,18.0,55.6,72.5
'1052_s_at','CEBPD',1493.4,1945.2,716.8,3197.9,915.5,2923.3,1090.9,1901.9,1566.1,1840.2,2379.0,964.5,2384.0,1619.2,1816.3,1240.5,1069.6,1419.2
'1053_at','RFC2',54.6,63.4,92.1,34.3,6.2,56.4,78.2,20.1,60.7,29.4,78.0,62.9,77.9,95.8,74.9,27.4,65.9,17.8
'1054_at','RFC4',29.6,60.3,44.6,49.2,63.1,59.7,182.1,68.9,15.0,34.5,49.8,38.2,76.1,36.0,5.7,36.0,54.9,4.2
'1055_g_at','RFC4',83.9,96.4,51.9,78.2,85.1,69.2,106.9,136.7,61.3,52.0,67.1,63.9,118.5,77.4,92.0,83.6,95.7,85.1
'1056_s_at','IL16',27.3,3.4,72.7,46.1,25.1,74.4,24.0,53.1,22.4,31.6,23.3,6.7,18.0,78.5,6.3,35.4,6.3,33.0
'1057_at','CRABP2',459.8,98.6,93.0,25.8,73.5,103.9,283.3,139.1,60.0,160.7,63.0,46.2,444.0,96.1,78.5,69.7,251.2,113.1
'1058_at','WASF3',128.4,216.0,165.7,129.9,175.6,125.7,78.1,150.7,53.6,168.1,250.4,129.2,176.1,204.3,232.1,228.5,105.0,134.8
'1059_at','NTRK3',2.1,26.5,5.3,12.9,42.2,33.9,129.5,97.2,26.5,19.6,22.8,1.2,34.2,49.9,20.8,21.4,23.2,28.6
'105_at','NR1I3',5.7,3.1,6.7,6.3,8.7,9.4,40.1,59.8,2.2,23.1,14.6,11.5,4.9,7.1,26.4,8.6,43.4,11.3
'1060_g_at','NTRK3',14.4,15.1,15.6,85.9,58.8,18.0,205.2,85.3,8.8,23.3,39.4,22.8,50.0,85.4,12.8,18.3,100.7,13.1
'1061_at','IL10RA',84.9,24.7,90.1,111.7,28.0,76.2,78.3,230.1,89.8,66.1,42.4,21.6,19.9,128.9,105.6,103.0,131.1,23.3
'1062_g_at','IL10RA',37.9,10.0,47.7,47.5,12.7,31.2,114.7,94.4,54.0,63.4,19.7,23.4,40.1,57.2,89.1,74.7,86.0,23.8
'1063_s_at','TYRO3',164.1,131.7,76.9,48.2,110.5,36.3,87.7,20.6,176.3,74.3,29.4,116.5,35.1,24.3,19.3,82.6,51.5,63.4
'1064_at','TWF1',184.7,234.8,83.4,169.5,76.5,158.6,115.6,117.9,121.6,189.5,180.3,215.5,198.6,80.9,101.8,208.6,144.1,131.6
'1065_at','FLT3',47.8,15.5,86.5,40.3,71.3,53.0,196.3,98.1,55.4,58.5,56.5,44.5,60.6,40.6,57.7,12.3,150.6,51.0
'1066_at','IL12RB1',6.4,56.1,55.2,6.4,38.1,48.2,63.7,31.8,42.1,6.8,15.2,16.4,40.2,19.6,18.7,13.2,30.3,30.7
'1067_at','FLT3LG',47.4,46.0,66.1,36.7,31.2,32.9,75.6,69.4,41.4,28.6,27.0,29.5,41.7,25.7,28.6,36.1,39.6,88.3
'1068_g_at','FLT3LG',36.8,68.0,77.2,28.4,76.8,29.1,58.3,44.0,33.5,28.8,37.8,47.8,39.8,144.7,32.9,43.7,53.4,26.4
'1069_at','PTGS2',59.4,214.5,9.0,520.3,24.4,306.7,227.6,95.4,71.6,84.7,128.3,32.0,47.9,23.0,53.6,40.2,182.1,34.3
'106_at','RUNX3',65.0,4.8,16.9,5.8,14.9,3.2,25.6,20.7,16.4,8.5,10.1,19.9,13.3,8.2,3.5,30.2,8.2,52.7
'1070_at','GTF2B',84.4,59.2,41.7,84.6,68.5,99.9,202.4,121.1,80.3,103.2,101.1,103.5,95.7,79.7,60.0,61.5,74.7,91.0
'1071_at','GATA2',201.1,209.1,226.4,266.7,144.9,236.2,157.0,69.3,216.8,331.9,122.2,221.2,354.5,185.7,175.9,252.3,299.2,110.7
'1072_g_at','GATA2',269.0,178.7,222.5,157.2,195.3,241.0,388.8,185.3,302.0,283.6,197.7,236.4,371.2,255.5,109.9,347.5,376.3,234.3
'1073_at','TCEA1',796.2,788.0,646.6,624.5,336.4,740.1,504.5,598.4,547.0,781.3,1055.0,693.1,573.5,558.8,501.6,757.9,765.8,760.6
'1074_at','RAB1A',197.0,301.5,154.0,365.5,206.4,486.6,93.1,256.1,342.0,378.4,366.4,290.1,195.0,182.6,169.2,166.3,183.7,181.8
'1075_f_at','IFNA16',8.1,24.7,33.8,6.0,21.2,32.3,187.4,81.1,37.0,20.4,29.6,19.3,10.8,36.4,44.4,25.9,42.1,18.8
'1076_at','IL1A',9.1,6.7,62.0,9.4,38.7,31.7,82.9,8.8,5.0,38.7,36.4,19.1,2.6,18.3,18.8,8.4,14.5,7.9
'1077_at','RAG1',8.8,3.1,9.5,32.2,13.3,3.5,48.8,4.4,2.2,13.5,27.6,9.7,2.7,32.8,6.5,6.9,30.9,8.1
'1078_at','PRLR',2.5,3.7,21.9,39.5,4.9,22.8,16.8,4.9,7.0,5.5,5.3,7.4,3.7,9.0,3.0,5.5,4.6,3.6
'1079_g_at','PRLR',14.3,22.6,34.4,48.3,109.4,62.1,61.4,38.2,19.4,18.3,16.5,79.2,67.6,36.6,60.7,67.5,117.1,38.5
'107_at','RAB40AL',14.1,37.6,29.6,25.9,34.0,16.4,40.5,91.9,13.0,22.1,18.0,60.1,29.6,24.6,10.8,35.8,133.2,39.6
'1080_s_at','CYP1A2',5.4,8.5,9.0,2.3,6.3,5.2,11.7,5.8,9.2,6.2,2.1,8.1,2.4,3.4,2.7,5.2,5.8,3.0
'1081_at','ODC1',1926.3,562.7,472.6,3804.7,947.4,2849.2,337.4,698.7,1767.8,2006.1,1986.8,1618.2,494.8,947.9,464.5,763.2,1181.0,758.9
'1082_at','PLCG1',38.7,44.4,67.8,37.1,9.6,36.8,111.5,21.5,56.8,20.7,7.6,43.9,19.1,37.7,12.1,11.8,56.8,103.9
'1083_s_at','MUC1',165.6,221.0,178.8,186.3,293.9,133.1,412.0,231.7,159.9,146.6,220.9,107.5,127.1,216.8,181.3,157.8,212.0,163.2
'1084_at','ABL2',15.0,13.5,33.0,7.9,15.0,8.6,37.0,29.8,8.6,16.7,10.6,6.7,16.7,18.6,10.8,14.0,12.5,22.2
'1085_s_at','PLCG2',103.6,71.6,140.2,119.3,224.7,106.5,238.7,243.0,139.7,143.1,112.3,95.0,134.5,181.4,150.9,92.5,155.2,157.8
'1086_at','CSF2RB',8.5,7.2,28.2,13.9,26.3,20.5,51.6,13.8,21.5,21.7,12.1,12.3,7.3,15.9,4.9,5.5,8.4,23.5
'1087_at','EPOR',52.1,13.1,18.9,19.9,24.3,30.6,66.3,20.4,60.2,45.2,11.8,102.9,20.9,56.4,7.7,40.4,49.8,90.7
'1088_at','BDNF',28.4,67.7,3.3,21.3,5.1,15.6,47.8,51.4,26.9,13.8,19.1,18.7,23.6,56.0,17.4,31.3,85.9,26.1
'1089_i_at','M64936',154.3,142.5,177.9,263.1,313.5,22.0,24.0,229.0,9.2,8.5,8.9,170.0,13.1,122.1,115.1,349.1,16.3,163.2
'108_g_at','RAB40AL',159.1,128.6,46.8,228.8,234.4,201.0,99.1,83.8,215.3,184.9,229.8,245.0,218.0,221.0,196.4,184.9,129.8,248.1
'1090_f_at','M64936',10.6,12.6,66.5,54.9,41.7,25.3,58.1,37.3,8.5,40.9,45.3,41.5,14.0,8.8,40.1,63.3,41.8,20.0
'1091_at','PRKAR1B',273.2,184.9,425.1,144.9,122.3,129.8,765.9,225.4,373.6,322.2,256.8,286.6,326.7,418.7,270.2,461.5,358.1,598.3
'1092_at','EDN2',423.5,460.2,137.3,470.4,142.4,594.1,275.2,722.8,373.7,392.3,138.7,293.9,468.0,134.2,245.8,389.7,540.5,624.7
'1093_at','PPP2R1B',32.4,31.8,36.2,51.1,42.6,26.4,16.7,5.9,53.2,22.5,36.1,18.6,17.8,40.8,33.5,31.4,29.2,34.3
'1094_g_at','PPP2R1B',92.6,64.4,22.0,95.9,55.8,102.6,213.5,31.0,170.8,163.9,140.7,19.2,23.6,79.8,21.7,59.8,183.7,71.0
'1095_s_at','HGF',1.7,2.5,2.0,8.4,12.3,3.9,5.1,45.0,1.7,1.8,0.9,3.5,3.2,29.3,4.1,1.6,0.5,2.4
'1096_g_at','CD19',112.6,83.2,77.3,73.4,118.2,133.5,242.1,178.5,91.3,33.1,33.0,31.7,51.5,171.9,44.2,111.6,168.1,49.6
'1097_s_at','CCR7',92.5,64.1,64.7,51.2,111.8,88.6,380.2,91.7,9.6,26.1,58.4,87.1,19.0,94.6,96.7,112.7,204.1,65.4
'1098_at','THPO',2.9,1.3,4.6,33.6,59.5,1.3,20.2,29.7,17.4,13.0,1.0,2.8,3.1,26.7,22.2,2.2,16.0,33.6
'1099_s_at','GSTT2B',24.3,55.3,34.8,440.6,21.8,440.3,11.9,185.4,283.4,108.0,22.7,208.9,156.9,113.3,15.8,323.9,234.1,196.8
'109_at','RABEPK',141.7,287.6,241.7,154.4,258.8,174.9,208.5,201.6,138.0,174.8,129.7,193.9,210.0,107.3,186.8,175.5,334.8,174.7
'1100_at','IRAK1',290.5,629.6,311.7,419.1,383.2,380.0,242.1,331.0,326.4,329.6,361.5,378.5,263.4,224.9,296.0,437.4,218.8,188.8
'1101_at','APBB1',104.3,162.5,161.0,85.8,104.0,89.9,184.6,200.1,88.0,92.0,70.2,115.6,84.4,129.0,117.1,171.0,62.4,166.6
'1102_s_at','NR3C1',127.0,92.3,98.8,157.1,98.1,194.9,14.3,22.5,136.0,127.2,157.0,101.2,75.4,85.3,70.7,60.6,82.6,53.0
'1103_at','ANG',285.6,99.0,51.0,412.3,132.0,529.0,29.8,67.0,516.7,357.8,399.4,457.5,145.2,85.3,83.7,253.5,115.6,353.4
'1104_s_at','HSPA1B',1768.9,598.3,1053.9,669.9,1261.7,650.9,388.0,509.9,1352.6,642.0,1193.4,1011.2,1638.3,1426.3,1168.4,911.5,1213.6,1562.8
'1105_s_at','IL23A',355.9,262.4,239.4,230.3,276.1,301.5,785.3,877.5,332.3,406.2,301.7,350.6,526.3,413.8,502.7,391.8,492.4,269.9
'1106_s_at','TRAC',156.7,163.1,203.4,134.3,238.8,105.6,170.8,180.8,118.4,159.9,113.8,142.2,212.2,230.2,155.6,191.0,195.1,165.4
'1107_s_at','ISG15',460.8,420.5,496.4,3626.0,436.6,3800.1,514.6,426.7,421.3,461.1,597.1,414.2,347.3,488.4,399.4,551.6,458.2,651.7
'1108_s_at','EPHA1',18.0,9.5,7.6,18.2,18.0,34.3,26.7,19.8,10.9,67.1,43.9,19.1,20.4,16.7,9.5,15.3,20.6,21.5
'1109_s_at','PDGFA',24.9,17.0,11.6,21.7,19.1,29.4,171.5,16.4,27.8,48.7,12.9,31.5,14.1,26.6,17.5,14.3,28.1,26.4
'110_at','CSPG4',283.7,104.4,257.0,209.4,192.3,164.5,516.9,420.4,132.4,166.5,141.8,203.0,150.5,356.9,424.7,346.9,338.3,427.7
'1110_at','TRAJ17',73.5,24.3,47.8,70.8,72.0,43.4,287.6,122.9,34.2,64.7,68.6,60.0,104.3,46.0,66.5,67.7,76.9,131.1
'1111_at','NCAM1',7.6,23.2,91.8,16.6,23.8,18.0,18.3,44.6,9.2,20.5,15.3,16.2,14.8,57.3,8.9,9.8,14.3,9.1
'1112_g_at','NCAM1',44.5,96.0,122.4,50.6,174.3,86.1,39.9,109.1,106.9,36.4,106.2,97.3,34.4,169.9,128.2,51.1,138.8,178.9
'1113_at','BMP2',31.1,2.1,11.3,15.2,13.5,10.6,30.3,7.9,7.0,8.8,3.1,8.9,7.2,3.5,13.8,11.4,8.4,9.5
'1114_at','BMP4',95.4,122.0,152.0,91.0,181.3,73.7,180.2,176.8,90.5,72.3,54.9,68.1,150.3,43.2,157.3,150.7,54.7,164.7
'1115_at','PF4',3.7,9.3,34.7,6.8,11.3,26.4,70.6,16.1,54.4,3.7,8.1,5.1,3.0,70.4,44.5,12.5,12.6,14.9
'1116_at','M28170',137.7,89.5,121.9,99.1,187.3,151.7,653.9,256.1,108.6,160.1,104.1,153.9,182.8,233.2,143.7,200.2,225.3,230.6
'1117_at','CDA',24.8,29.1,78.2,17.9,7.9,16.6,73.0,183.9,20.5,49.2,58.4,6.1,32.0,82.9,11.1,23.3,54.9,105.9
'1118_at','PTGER4',77.9,17.9,17.3,47.2,56.6,95.5,129.7,84.6,97.7,69.2,41.0,60.7,8.6,55.8,7.4,58.9,106.2,68.4
'1119_at','RPA2',264.0,257.9,235.0,272.7,745.5,285.0,294.5,137.1,271.1,296.3,288.5,189.0,262.5,401.6,219.5,266.6,255.7,236.1
'111_at','RABGGTA',307.5,243.6,130.5,123.6,146.7,147.0,45.1,259.9,144.6,215.5,128.4,242.2,242.8,96.0,68.7,242.9,411.6,276.7
'1120_at','GSTM3',86.9,190.7,215.7,221.9,202.5,147.3,311.2,88.1,113.3,60.1,159.6,148.7,110.3,146.0,114.3,82.7,146.0,128.9
'1121_g_at','GSTM3',100.8,250.5,203.7,215.7,260.0,249.3,194.4,158.6,139.5,117.7,154.8,152.4,134.4,190.0,109.2,119.2,155.6,132.9
'1122_f_at','CGB2',314.7,256.3,417.4,280.8,421.8,372.5,654.7,510.9,417.0,292.9,206.3,307.1,441.5,463.5,370.9,427.4,532.4,478.7
'1123_at','GHRHR',27.9,19.0,49.2,7.4,28.8,69.3,74.1,33.9,38.1,19.3,21.0,30.2,14.5,39.4,27.4,17.0,34.0,39.4
'1124_at','MLL',330.4,182.6,233.3,223.1,219.5,165.3,346.7,267.1,195.5,167.9,243.3,297.5,325.4,204.9,236.6,294.1,278.2,247.4
'1125_s_at','CD44',95.3,8.0,27.8,180.5,9.6,162.4,56.9,58.5,129.3,114.6,167.9,79.4,120.9,15.1,57.2,84.9,139.0,120.0
'1126_s_at','CD44',259.9,321.7,61.3,332.8,167.9,314.8,351.7,322.6,224.3,213.9,348.5,120.8,224.6,178.5,276.0,114.4,269.0,234.4
'1127_at','RPS6KA1',375.9,230.0,172.7,416.2,215.9,514.7,567.8,269.3,395.1,362.4,489.3,386.1,437.8,190.4,235.9,278.8,437.1,391.8
'1128_s_at','CCR1',84.8,20.5,30.8,10.3,89.6,32.0,67.9,176.6,54.3,66.6,81.4,114.2,50.2,61.7,27.1,26.7,43.5,103.5
'1129_at','GBX1',5.6,9.9,7.5,12.5,12.7,10.0,29.7,21.5,60.9,6.2,5.0,10.1,15.9,11.3,9.6,12.0,17.3,12.2
'112_g_at','TAF1',4.8,19.1,5.1,21.8,8.6,24.2,9.1,9.1,25.2,36.5,36.2,5.4,2.7,21.8,4.0,15.5,8.6,34.5
'1130_at','MAP2K1',382.7,402.3,301.6,314.1,443.1,271.9,322.3,217.9,359.0,379.7,207.9,444.3,273.2,623.5,324.3,329.6,247.3,314.9
'1131_at','MAP2K2',418.3,492.7,219.9,395.6,511.6,560.3,80.2,345.7,545.3,397.7,402.7,261.1,487.8,326.4,432.8,450.4,437.4,541.3
'1132_s_at','RARG',87.1,74.4,169.4,29.7,214.0,37.4,66.7,32.5,79.9,90.7,73.0,38.3,114.5,75.9,145.2,93.1,98.9,38.9
'1133_at','EN2',2.2,5.5,33.2,25.7,9.9,21.8,123.4,11.4,2.5,6.0,18.7,11.6,2.1,40.2,10.0,4.1,16.0,12.6
'1134_at','TNK2',406.4,403.5,634.0,486.8,572.0,472.7,694.5,470.8,468.0,319.6,391.9,434.6,619.1,477.7,484.5,531.3,657.2,512.7
'1135_at','GRK5',164.4,382.1,401.1,212.6,273.9,122.3,525.3,378.8,208.3,152.8,233.4,133.7,152.6,483.2,247.3,280.7,164.4,239.2
'1136_at','DTYMK',132.8,88.7,97.5,164.3,91.6,187.1,44.8,101.0,231.0,142.2,141.1,116.2,129.3,96.0,54.5,130.6,98.6,87.5
'1137_at','SLC20A2',73.1,167.7,162.0,86.3,222.3,42.8,16.2,96.2,97.8,117.2,94.8,70.8,64.5,360.8,186.3,108.6,64.2,59.1
'1138_at','SLC20A1',214.9,190.1,259.6,210.3,163.6,176.8,227.6,276.6,101.5,210.9,124.2,192.1,206.0,86.8,212.2,144.7,249.2,180.2
'1139_at','GNA13',4.5,22.8,3.0,8.4,14.4,2.2,9.5,31.6,20.9,15.1,37.5,4.7,6.5,20.2,3.9,20.6,12.0,22.5
'113_i_at','MAPT',27.1,20.5,58.8,44.3,69.7,35.5,79.9,19.3,45.2,33.1,39.0,5.7,27.5,129.1,33.0,62.0,27.3,53.3
'1140_at','ITGAE',35.4,70.7,9.4,69.8,71.8,98.3,27.8,37.9,68.5,83.6,89.4,92.2,32.5,136.1,71.6,86.0,52.9,53.1
'1141_at','MC5R',71.6,90.3,90.7,87.2,95.0,113.0,338.4,172.4,106.0,96.8,90.3,101.0,100.8,120.3,93.1,111.9,175.3,129.9
'1142_at','TIGR: HG3432 HT3618',14.3,29.9,39.5,58.5,163.1,115.4,191.8,143.9,85.9,113.2,72.9,68.6,36.0,100.9,75.0,60.4,74.6,193.2
'1143_s_at','FGFR2',104.6,94.7,72.5,74.7,19.5,95.4,24.2,111.8,124.8,150.5,137.8,143.9,108.2,18.6,27.4,90.9,78.7,183.6
'1144_at','FGFR2',6.3,46.5,13.9,45.0,62.5,12.3,85.7,63.7,11.0,6.4,7.4,32.8,11.0,22.7,36.2,21.4,17.1,33.5
