'ID_REF','IDENTIFIER','GDS2545.soft.gz_table_0.GSM152804','GDS2545.soft.gz_table_0.GSM152805','GDS2545.soft.gz_table_0.GSM152806','GDS2545.soft.gz_table_0.GSM152807','GDS2545.soft.gz_table_0.GSM152808','GDS2545.soft.gz_table_0.GSM152809','GDS2545.soft.gz_table_0.GSM152810','GDS2545.soft.gz_table_0.GSM152811','GDS2545.soft.gz_table_0.GSM152812','GDS2545.soft.gz_table_0.GSM152813','GDS2545.soft.gz_table_0.GSM152814','GDS2545.soft.gz_table_0.GSM152815','GDS2545.soft.gz_table_0.GSM152816','GDS2545.soft.gz_table_0.GSM152817','GDS2545.soft.gz_table_0.GSM152818','GDS2545.soft.gz_table_0.GSM152819','GDS2545.soft.gz_table_0.GSM152820','GDS2545.soft.gz_table_0.GSM152821'
'36762_at','GABRG2',53.4,72.9,47.0,20.1,24.7,81.1,43.7,93.0,50.2,63.3,69.5,19.3,56.8,27.0,26.7,28.9,47.5,47.7
'36763_at','WNT7A',31.2,28.2,35.3,54.3,131.8,28.9,307.3,28.9,14.2,66.3,52.3,36.8,36.7,66.8,29.0,36.6,117.9,65.2
'36764_at','CACNG3',144.5,65.2,179.7,99.9,32.1,107.2,261.5,213.5,130.7,124.7,126.6,28.2,78.2,205.0,44.1,35.6,135.2,214.7
'36765_at','SPEF1',235.7,198.7,301.7,163.0,299.0,337.7,646.5,281.4,261.8,263.6,205.8,211.9,211.8,346.2,267.1,229.5,303.6,181.6
'36766_at','LOC100133811',64.7,68.6,90.6,49.6,6.3,14.9,84.3,50.6,32.1,13.5,15.4,45.3,81.8,56.8,35.1,48.6,64.1,9.6
'36767_at','CYP1A1',7.5,33.0,6.3,9.7,13.1,9.6,25.1,38.5,10.9,7.5,17.8,14.2,25.2,8.0,11.4,8.9,23.3,6.6
'36768_at','NEUROD1',5.7,6.7,3.7,8.3,70.8,3.0,35.5,70.4,4.8,5.5,6.2,11.7,8.4,43.0,7.7,5.4,26.6,6.2
'36769_at','RBBP5',33.2,2.7,46.5,60.4,45.8,7.2,25.1,5.9,45.7,26.0,8.0,72.1,32.4,10.9,11.1,10.1,8.8,23.0
'36770_at','STAT2',38.3,25.8,69.5,43.2,59.5,55.9,21.2,72.8,87.7,41.7,55.5,39.0,41.7,58.1,35.3,34.8,95.3,59.7
'36771_at','CNR2',8.0,8.0,25.9,6.9,13.3,17.5,68.9,43.3,10.7,13.3,7.2,23.0,25.6,67.7,10.0,24.9,32.3,34.0
'36772_at','GNGT1',2.1,6.0,5.4,3.1,7.5,3.3,17.0,4.4,3.9,2.9,4.3,4.1,4.5,2.8,3.3,2.4,1.8,2.5
'36773_f_at','LOC100133583',236.1,141.4,148.5,297.2,172.4,235.4,251.4,315.5,185.4,326.1,254.7,196.6,285.3,235.2,328.1,172.1,210.1,345.0
'36774_f_at','PRB2',3.1,10.4,12.2,6.1,12.9,5.8,31.5,25.8,3.2,5.6,3.8,5.7,6.5,14.1,7.0,10.5,10.2,9.9
'36775_f_at','PRB1',5.0,6.8,10.9,5.7,7.4,5.6,21.3,13.6,5.5,6.3,5.8,7.9,6.7,8.2,8.4,7.0,13.9,8.5
'36776_at','LAG3',12.5,24.7,75.9,10.2,81.3,26.6,29.8,32.1,21.7,40.7,8.8,21.4,18.5,31.7,40.9,13.9,27.8,19.7
'36777_at','KLRK1',22.8,5.0,4.7,16.4,16.9,12.7,29.5,19.0,13.8,11.4,13.9,22.0,16.4,32.0,9.7,7.3,16.1,7.3
'36778_at','GPR143',26.9,56.4,24.8,13.7,66.3,15.9,478.3,141.7,11.2,25.2,102.2,15.8,140.3,47.0,50.7,24.3,82.1,17.7
'36779_at','FABP6',65.5,51.0,136.6,74.1,28.5,59.4,103.2,75.3,29.0,62.0,48.7,86.3,81.6,97.4,77.5,86.4,99.3,42.0
'36780_at','CLU',7431.0,20253.0,12587.4,5074.1,13674.7,4284.8,11383.9,16043.3,6520.7,3731.1,3883.0,3225.9,6987.6,8516.3,13712.0,6902.6,9282.7,8602.7
'36781_at','SERPINA1',152.9,80.0,12.4,80.4,18.4,100.7,44.6,177.0,112.3,140.8,63.0,22.4,99.3,22.5,100.4,46.2,100.7,47.3
'36782_s_at','INS IGF2',2.2,4.6,64.0,2.3,6.6,5.0,14.5,7.2,4.0,2.8,2.2,4.3,92.1,53.3,29.3,2.7,10.2,4.9
'36783_f_at','ZNF117',138.6,144.1,104.6,135.8,114.8,101.2,197.5,175.7,120.1,274.9,132.5,156.0,227.6,113.3,117.4,126.8,299.8,237.2
'36784_at','CSHL1',107.8,198.4,151.9,206.7,383.0,306.5,111.5,361.6,235.4,292.8,168.6,199.2,293.3,406.5,258.6,253.0,365.4,288.4
'36785_at','HSPB1',8739.1,15377.0,14810.1,4334.9,21523.1,4310.7,1921.7,10430.7,8940.5,4386.5,3755.0,4948.4,5847.9,19964.0,13252.6,9848.0,9058.2,7691.4
'36786_at','RPL10A',3187.9,3791.5,2491.5,2246.8,3040.3,2788.2,1983.8,3465.3,4053.8,4446.6,3495.9,2637.3,3236.8,2454.5,2837.8,2588.4,3444.6,4589.7
'36787_at','GATA1',63.7,111.8,25.9,33.9,24.1,14.6,273.2,59.2,12.4,60.4,19.5,56.3,12.7,36.0,43.1,27.7,28.2,33.0
'36788_at','GPC5',15.2,3.9,3.2,2.0,9.0,1.4,25.2,3.1,18.3,2.2,6.4,8.9,24.0,2.6,1.7,27.0,3.5,41.4
'36789_f_at','LILRB5',9.8,14.5,5.7,106.3,45.1,46.0,95.3,63.5,69.0,37.8,63.6,50.5,12.6,92.2,36.6,61.9,11.2,95.8
'36790_at','TPM1',2594.4,11894.2,5267.0,4029.5,4720.7,3163.9,1315.7,3938.1,4609.1,3220.8,4090.0,3370.8,3425.6,1449.1,6764.0,7453.2,3737.6,4625.1
'36791_g_at','TPM1',1809.3,8717.3,4330.5,1674.7,2778.1,1721.2,1010.0,2648.4,3172.6,1918.5,2857.4,1919.3,1516.8,798.9,3767.1,4529.4,2012.5,3719.9
'36792_at','TPM1',2013.0,8173.7,4886.4,1842.8,2274.0,1831.5,997.2,2022.2,2847.2,2143.0,3532.6,2778.7,3626.5,1008.3,5333.2,6096.9,2889.5,3091.7
'36793_at','CCDC52',28.2,4.5,68.7,48.5,57.7,37.3,115.5,13.9,8.5,22.8,14.8,7.3,61.6,38.7,11.4,32.8,46.3,97.5
